618839,sword-fight
618839,swordplay
618839,topless-female-nudity
618839,true-story
618839,tv-mini-series
618839,tv-movie
618839,tyrant
618839,villain-played-by-lead-actor
618839,violence
618839,womanizer
618839,world-war-one
618992,ancient-text
618992,bandit
618992,based-on-novel
618992,desert
618992,secret
618992,tv-mini-series
635977,alien
635977,android
635977,based-on-video-game
635977,femme-fatale
635977,monster
635977,post-apocalypse
635977,splatter
639937,character-name-in-title
651934,jazz
651934,live-show
712012,tv-mini-series
712740,number-in-title
712744,number-in-title
717511,tv-mini-series
719242,tv-mini-series
716363,based-on-novel
716363,tv-mini-series
716620,cult-tv
716620,punk
716620,tv-show
718348,crown
718348,dragon
718348,extraterrestrial
718348,friendship
718348,horse
718348,magic
718348,sorcery
718348,starship
718348,surrealism
718348,witch
718410,non-fiction
718410,sketch-comedy
718410,variety-show
719912,based-on-novel
720654,non-fiction
721208,gnome
721208,nature
721208,travel
721208,trial
721208,troll
721418,non-fiction
722006,character-name-in-title
722126,non-fiction
724258,live-performances
724300,non-fiction
725389,non-fiction
725389,sketch-comedy
726210,abduction
726210,african-dance
726210,betrayal
726210,brother-sister-relationship
726210,bulldog
726210,car-chase
726210,car-crash
726210,corruption
726210,courtroom
726210,cow
726210,digit-in-title
726210,dog
726210,drug-trafficking
726210,father-son-relationship
726210,garage
726210,gunshot
726210,kidnapping
726210,mafia
726210,money-laundering
726210,murder
726210,number-in-title
726210,numbered-sequel
726210,photographer
726210,physical-rehabilitation
726210,prostitute
726210,secret-service
726210,sequel
726210,sixth-part
726210,slaughterhouse
726210,stenographer
726210,tv-mini-series
726210,women's-prison
726893,based-on-novel
726893,tv-mini-series
727095,non-fiction
727611,non-fiction
729088,character-name-in-title
729179,non-fiction
729179,sketch-comedy
731292,tv-mini-series
731506,adventurer
731506,anthropomorphic-animal
731506,anthropomorphism
731506,based-on-novel
731506,cult-tv
731506,death
731506,friendship
731506,frostbite
731506,indian-princess
731506,innocent-suspect
731506,love
731506,master-servant-relationship
731506,master-slave-relationship
731506,police
731506,policeman
731506,race-against-time
731506,rescue
731506,stuttering-policeman
731506,time-limit
731506,travel
731506,wager
733937,character-name-in-title
733937,part-animation
733937,screwball
733937,stop-motion-animation
733937,surrealist
736261,character-name-in-title
736617,character-name-in-title
747350,character-name-in-title
751431,based-on-novel
751431,mystic
751431,tv-mini-series
755099,alien
755099,anime
755099,based-on-novel
755099,reptilian
755099,sequel
755645,number-in-title
756604,based-on-novel
776601,based-on-play
776601,character-name-in-title
776601,tragedy
776617,based-on-play
776624,based-on-play
776634,based-on-play
776647,based-on-play
776647,shakespeare's-much-ado-about-nothing
776652,based-on-play
776653,based-on-play
776653,foreign-language-adaptation
776654,based-on-novel
776984,non-fiction
778356,non-fiction
778356,theatre
785308,fascism
785308,poet
785308,spain
785308,spanish-civil-war
785612,number-in-title
788756,1930s
788756,spanish-civil-war
788763,con-artist
789626,based-on-novel
789626,tv-mini-series
790360,bandit
790360,farm
790360,goblin
806425,actor
806425,director
806425,interview
806425,one-word-title
806425,premiere
806425,set
817586,galicia
818380,based-on-novel
818380,tv-mini-series
830180,tv-mini-series
839146,talent-show
845157,tv-mini-series
848468,italy
848468,tv-mini-series
