961,1979-1980
1612,1994-2004
4617,1987-1988
4644,1986-????
8512,1977-1978
9811,1982-1991
10723,1991-1993
10724,1984-????
11144,1977-1983
11283,1975-????
11979,1989-????
12133,1986-1990
12907,1987-1989
16608,1976-1981
17533,1999-2006
20161,1995-????
20319,1994-????
20402,1992-????
20417,1987-????
21756,1989-????
21769,1990-????
22188,1988-????
22261,1986-????
22262,1986-????
22599,1993-????
22600,1996-????
23034,1976-1981
24179,1988-????
24196,1990-1991
24315,1984-????
24347,1995-????
24361,1993-1994
24375,1998-1999
25306,1985-1988
25316,1987-1989
25344,1992-1993
25376,1987-????
25380,1989-1991
25942,1988-????
25943,1998-????
25958,1993-????
26299,1991-1992
26300,1982-????
26664,1990-????
27160,1995-????
27193,1990-????
27194,1996-????
27196,1990-????
27310,1993-????
27449,1975-????
27574,1997-2004
27692,1994-1995
27991,1986-????
28026,1994-1997
28450,1999-????
28459,1987-1988
28646,1986-????
28674,1988-1990
28684,1988-????
29650,1988-????
30089,1986-1991
30317,1994-????
33574,1993-????
36196,1998-2000
37095,1992-????
38007,1983-????
39159,1999-????
40244,1989-????
40245,1994-????
40255,1990-????
43549,1986-1987
43961,1995-????
44494,1993-????
44726,1992-????
45200,1984-1987
46583,1996-????
46653,1991-????
48079,1992-1993
48108,1996-????
48205,1993-????
48242,1984-1985
48244,1994-????
48247,1998-2003
48429,1983-1986
48626,1997-2002
50989,1981-1983
51040,1999-2001
51063,1998-2004
51295,1998-????
52376,1998-????
54307,1993-????
61240,1988-????
61634,1998-2000
66051,1995-????
66083,1990-????
66173,1998-1998
74274,1991-????
74278,1991-????
74279,1992-????
74280,1997-????
74283,1998-????
74755,1981-????
75266,1987-????
75650,1996-2004
76397,1996-1999
77574,1998-????
77577,1996-????
77586,1977-????
80626,1983-????
84853,1997-2001
84854,1990-????
89744,1979-1980
89754,1998-????
90472,1999-????
90473,1995-????
90561,1983-????
90773,1978-1983
91542,1998-1999
91649,1995-????
93233,1995-????
93234,1995-????
93379,1995-1996
93617,1975-1976
94267,1991-????
95207,1988-????
97062,1994-????
98131,1990-1992
98187,1987-????
98201,1985-1987
98377,1999-????
98538,1981-????
99989,1994-1999
100131,1989-????
105417,1982-1983
105421,1993-1999
105423,1999-????
105432,1987-????
105548,1997-????
106907,1991-1994
107779,1998-????
109471,1985-1986
110369,1989-????
110409,1986-????
112361,1997-????
112443,1984-1985
112467,1983-????
112561,1996-????
113187,1989-1991
113308,1997-????
113681,1991-????
114370,1998-????
114415,1995-????
114439,1992-1993
118975,1998-1999
120345,1991-????
123097,1992-????
123155,1992-????
125217,1988-1989
125308,1979-2000
137119,1990-1993
137148,1991-1992
138519,1984-1985
138586,1984-????
139947,1991-????
141202,1990-????
144579,1991-????
144875,1982-1983
154832,1998-????
155099,1995-????
155127,1992-????
156020,1981-1983
157070,1987-1988
157085,1981-1982
157395,1997-????
161714,1985-????
163169,1988-????
164157,1997-????
164905,1992-2004
165985,1996-????
169188,1986-????
171655,1995-????
175158,1994-????
175875,1992-????
175888,1989-????
181384,1982-1984
181628,1986-1990
181705,1993-????
184150,1994-????
184523,1989-1990
185875,1986-????
188004,1998-????
188168,1991-????
188406,1998-????
188647,1993-????
189031,1996-????
189632,1983-????
189727,1988-1991
189921,1999-????
190009,1991-????
191341,1997-????
193546,1999-????
193753,1990-????
193755,1990-????
193928,1994-????
196052,1997-????
196134,1990-????
196145,1997-????
196152,1979-1980
196161,1995-????
196163,1975-1976
196182,1987-????
196325,1985-????
196397,1994-1996
196805,1977-????
196806,1985-????
196817,1978-1979
196957,1996-????
197011,1999-2006
197854,1987-????
198294,1997-1998
198644,1999-????
199048,1990-????
199816,1984-????
199841,1996-????
200438,1989-1990
200490,1994-????
201743,1995-????
204495,1999-????
205879,1999-????
205928,1978-????
207490,1978-????
211816,1993-????
211958,1999-2000
212417,1997-????
212418,1994-1995
212576,1989-????
212578,1993-????
212916,1980-????
214088,1999-2000
215395,1992-????
227648,1984-????
227652,1981-????
228008,1993-1995
228061,1991-????
228751,1995-????
229342,1995-????
229350,1984-????
231525,1988-????
231879,1988-1989
232087,1982-????
232100,1997-????
232113,1993-1996
233192,1994-1995
233261,1988-????
233263,1994-????
233458,1989-????
233736,1981-????
233936,1987-????
235639,1991-1995
235640,1986-????
235664,1992-????
236478,1989-2005
237152,1995-????
239894,1991-????
242144,1992-????
243047,1998-????
244633,1994-????
245816,1989-1992
248320,1994-????
250130,1992-????
250146,1999-2004
250751,1985-????
251141,1998-2002
251363,1989-????
251456,1994-????
251667,1984-1991
251733,1995-????
251775,1997-1999
252167,1995-????
252169,1976-1977
252170,1996-????
252192,1997-????
252201,1997-2004
252296,1992-1993
253013,1999-????
253114,1994-1995
254192,1978-????
254583,1981-1987
254713,1992-1994
254767,1996-1997
254787,1988-????
254799,1996-????
255471,1998-????
256543,1996-????
256960,1989-????
256974,1997-????
259778,1989-1990
259780,1993-2013
269459,1984-????
269517,1999-????
269545,1980-1981
269781,1999-????
270039,1985-????
270048,1996-????
276971,1988-????
277367,1990-????
278312,1996-????
280026,1984-1985
282223,1999-????
282464,1990-????
284690,1998-????
285193,1999-????
285212,1988-1989
285226,1996-1997
285243,1988-????
285253,1992-1993
285269,1997-2005
286391,1991-1992
287376,1988-????
287587,1989-????
287647,1976-????
288090,1984-????
288097,1995-????
288161,1996-????
288776,1975-????
288939,1975-????
289632,1976-1978
289712,1999-????
290130,1999-????
290138,1995-????
290618,1997-????
291067,1993-????
291126,1998-2004
291339,1993-1994
291345,1987-????
291400,1981-????
300494,1991-1993
303826,1993-????
305878,1993-????
307096,1985-????
314246,1981-1982
314638,1991-????
