10266,2184917,actor,,
10266,2401441,actor,,(as Martin Adjemian)
10489,1743431,actor,He,
10694,1994182,actor,,(as Grupo Saudade)
10698,1994182,actor,,(as Grupo Saudade)
10699,1994182,actor,,(as Grupo Saudade)
10700,1994182,actor,,(as Grupo Saudade)
10701,1994182,actor,,(as Grupo Saudade)
10863,1992620,actor,Padre,
10863,932900,actor,Damian Centeno,
11082,1987982,actor,Cyclops,
11106,1991977,actor,,
11106,2171908,actor,,(as Francesc Adria)
11107,2391561,actor,Cureillista 4,
11247,2032333,actor,Hans,(voice)
11247,790360,actor,Hans,(voice)
11280,1997068,actor,,
11495,2087852,actor,Lorry Driver,
11760,1986885,actor,Chico colegio,
11979,1815628,actor,Mihai,
12242,1584954,actor,,
12249,2138593,actor,Peter,
12479,1607111,actor,,
12491,1596024,actor,Pedro,(as Ramón Aguirre)
12491,1608156,actor,,
12491,1622034,actor,Padre,
12491,1637922,actor,,
12491,1642263,actor,,
12491,1748813,actor,,
12491,1811883,actor,Tipo Coche,(as Ramon Aguirre)
12491,1911097,actor,Ramiro,
12491,1935370,actor,,
12491,1991101,actor,,
12491,1991783,actor,Portero,
12491,2029043,actor,,
12491,2062588,actor,Periodista,
12491,2140196,actor,,
12491,2147519,actor,,
12491,2158696,actor,,
12491,2208241,actor,,
12491,2265155,actor,Mendigorría,
12491,2273563,actor,Secretario judicial,(as Ramón Aguirre)
12491,2460457,actor,,
12491,404007,actor,,
12613,1699548,actor,Praying Man 1,
12798,1828296,actor,,(as William Agosti)
12804,1814921,actor,Capitán Cervantes,
12804,2149972,actor,Sr. Madrazo,
12826,1608996,actor,,
12826,2078365,actor,,
12826,2106315,actor,,
12826,530879,actor,Himself - Host,
12906,1827633,actor,,
12930,2277999,actor,Musician: El Nuevo Quinteto Real,(Violin)
12997,2172156,actor,,
13000,1656673,actor,,(as J. Luis Aguado)
13001,1915461,actor,,
13004,1796814,actor,,
13004,2049522,actor,Niño,
13005,1992507,actor,Aprendiz,
13011,1935123,actor,Himself,
13018,2387806,actor,Himself,(archive footage)
13019,2389908,actor,,
13033,1739348,actor,Monja,
13086,1659843,actor,,
13086,1826744,actor,El Lentejas,
13086,2201797,actor,,
13130,1825546,actor,,
13130,2138593,actor,,
13130,2465585,actor,,(uncredited)
13130,918826,actor,Himself - Reportero,(1993)
13149,1705756,actor,,
13233,2172605,actor,Himself,
13281,2420993,actor,,(uncredited)
13342,1894427,actor,,
13347,1811944,actor,,
13375,1812074,actor,González 1,
13392,1651039,actor,,
13420,2407414,actor,,
13448,1622471,actor,Camarero,
13449,2184917,actor,,
13464,2195405,actor,Álvaro,
13468,840083,actor,Himself - Host,(1993)
13489,1752262,actor,Federico,
13516,1739348,actor,Hermano Juan,
13540,991633,actor,Himself - Host,
13569,1989261,actor,La muerte,
1688027,1769030,actress,Rachel,
1688038,1811938,actress,Locutora,
1688040,1814208,actress,,
1688053,2032961,actress,,(voice)
1688055,1993412,actress,,
1688055,2043902,actress,,
1688063,48242,actress,Herself - Hostess,
1688067,2100790,actress,,
1688078,1648809,actress,Jolly,
1688078,2172611,actress,Secretaria de la Agencia de Viajes,
1688174,1815727,actress,,
1688197,1215986,actress,Hostess,
1688198,1815851,actress,Verónica,
1688198,1821509,actress,Estrella,
1688198,1990834,actress,Lola,
1688198,398294,actress,Sonia Castilla,(1999-2001)
1688518,1843542,actress,Chica reservados,
1688591,2204103,actress,Driver #1,
1688888,1669556,actress,,
1688888,1997068,actress,,
1688888,2054998,actress,Denise,
1688888,2089958,actress,Gaby,
1688946,1652406,actress,HG Puch,
1688987,2137342,actress,,
1689023,1792713,actress,,
1689203,2219175,actress,,
1689435,680674,actress,Herself,
1689441,2064140,actress,Narrator,(voice)
1689441,28450,actress,Herself - Hostess,
1689441,193928,actress,Herself - Hostess,
1689441,1208089,actress,,
1689506,1710808,actress,Rita,
1689638,1627928,actress,Alba,
1689866,1104702,actress,Eva,
1689876,1613435,actress,Gloria,
1689876,1635159,actress,Luisa,
1689876,1653162,actress,Carmela,
1689876,1669543,actress,Verónica,
1689876,1670617,actress,Ana Alonso,
1689876,1710931,actress,José María,
1689876,1710931,actress,María José,
1689876,1713251,actress,Caperucita,
1689876,1737908,actress,Abilene,
1689876,1769031,actress,Ana Duque & Clara Duque,
1689876,1796814,actress,Rosario,
1689876,1812923,actress,Amelia,
1689876,1813247,actress,Ada,
1689876,1813247,actress,Sara,
1689876,1813469,actress,Chelo,
1689876,1814545,actress,La Merche,
1689876,1814773,actress,Lolita - hermana de Pepi,
1689876,1822884,actress,Miranda,
1689876,1822938,actress,,
1689876,1826316,actress,Marisa,
1689876,1939081,actress,Luisa,
1689876,1969146,actress,Andrea Caracortada,
1689876,1986345,actress,Violeta,
1689876,1987389,actress,Victoria,
1689876,1988158,actress,Julita,
1689876,1991616,actress,Bárbara Périsson,
1689876,1991772,actress,Saga,
1689876,1992318,actress,Girl with Juan,(uncredited)
1689876,1993923,actress,Mariana,
1689876,1994532,actress,Elena,
1689876,2003254,actress,Manolita,
1689876,2007653,actress,L'hôtesse,
1689876,2022146,actress,Floren,
1689876,2056107,actress,Clara,
1689876,2067033,actress,Mercedes,
1689876,2075136,actress,Anne,
1689876,2091722,actress,Gloria,
1689876,2116022,actress,Angelines,
1689876,2121962,actress,Engracia,
1689876,2133893,actress,Cardenala,
1689876,2207361,actress,Blanca Arauz,
1689876,2232338,actress,Menchu,
1689876,2232338,actress,Ramona,
1689876,2232338,actress,Aurora Nin,
1689876,2260356,actress,Anne Birdsley,
1689876,2274988,actress,Rebeca Giner,
1689876,2379653,actress,Dorita,
1689876,2466485,actress,Marina Osorio,
1689891,1710808,actress,Irene,
1689956,1675868,actress,Une miss,
1690048,1986567,actress,Nuera 3,
1690130,1983081,actress,,
1690172,196418,actress,Niña,
1690176,2032333,actress,Bella,(voice)
"1690176,790360,actress,""Bella, la gallina"",(voice)"
1690239,1640329,actress,,
1690239,1811797,actress,Esposa de Eusebio,(as Mª Angeles Acevedo)
1690239,1826190,actress,,
1690239,1878518,actress,Mujer Madura,(as María Ángeles Acevedo)
1690239,1994081,actress,Doña Lidia,(as Mª Ángeles Acevedo)
1690239,1999316,actress,Secretaria,
1690239,2015092,actress,Doña Genoveva,(as María Ángeles Acevedo)
1690239,2029784,actress,Pura,(as María Ángeles Acevedo)
1690239,2187688,actress,Invitada,(Guest)
1690239,2205480,actress,,
1690239,2379792,actress,,
1690239,2385480,actress,,
1690239,2389908,actress,,
1690239,1208089,actress,,
1690249,1965138,actress,Hermana menor de Katy,(voice)
1690344,1854612,actress,,
1690646,2194994,actress,,
1690705,1875367,actress,Gomela,
1690714,2022146,actress,Miliciana #7,
1690778,1816309,actress,,
1690893,2379685,actress,,
1690974,2352334,actress,Lt. Nina Crowley,
1691049,2379768,actress,Conxa,
1691108,1715628,actress,Amy,
1691117,2215381,actress,La chica,
1691142,1715628,actress,Miranda,
1691832,1742532,actress,Pool Party Girl,
1691840,1955970,actress,Carmen,
1691840,2140272,actress,Susana,
1692450,2126520,actress,Mujer de Evelio,
1692462,1818610,actress,Amante,
1692760,1646640,actress,Antonieta Rivas Mercado,
1692836,2232133,actress,,
1692961,1016778,actress,Additional Voices,(voice) (as Pamela Segall)
1693034,1901318,actress,Suad,
1693171,1625755,actress,,
1693189,1599026,actress,Joana,
"1693189,1749624,actress,Mujer morena,(segment ""Frac"")"
1693189,1763958,actress,Rocío,
1693189,1767232,actress,Carmen,
1693189,1814028,actress,Marisa,
1693189,1853932,actress,,
1693189,1881592,actress,,
1693189,1884032,actress,,
1693189,1884950,actress,,
1693189,1963564,actress,,
1693189,1994199,actress,,
1693189,2003254,actress,María,
1693189,2032629,actress,Chonina,
1693189,2039438,actress,Lola,
1693189,2039613,actress,,
1693189,2054914,actress,María,
1693189,2128273,actress,Aurelia,
1693189,2140281,actress,Irene,
1693189,2175464,actress,,
1693189,2219900,actress,Lilith - paranormal viewer,
1693189,2269732,actress,María,
1693189,2285520,actress,,
1693189,2424344,actress,Sandra,
1693189,2460457,actress,Ana,
1693189,2465527,actress,Susana,
1693189,2467991,actress,Maruja,
1693189,731292,actress,,
1693189,1227366,actress,Princesa de Éboli,
1693251,1814313,actress,Cristina,
1693326,1810173,actress,Bailarina,(as Inma Adanez)
1693327,1709137,actress,,(as María Angustias Adánez)
1693327,1720081,actress,Maria,
1693327,1742564,actress,Enfermera tocólogo,
1693327,1811430,actress,Niña,(as María Adanés)
1693327,1811552,actress,Yolanda,
1693327,1812609,actress,Chus,
1693327,1815112,actress,,
1693327,1815851,actress,Elena,
1693327,1816264,actress,,
1693327,1822884,actress,Juani,
1693327,1992301,actress,María,
1693327,2029526,actress,María,
1693327,2033420,actress,Sara,(as Maria Adanez)
1693327,2051326,actress,María,
1693327,2145449,actress,Mariló,
1693327,2189388,actress,Belén,(as Maria Adanez)
1693327,2425282,actress,Elena,
1693327,576269,actress,Herself - Hostess,
1693327,789556,actress,Sandra,
1693327,839230,actress,Maya,
1693327,839231,actress,Maya,
1693327,839232,actress,Maya,
1693327,839233,actress,Maya,
1693327,839234,actress,Maya,
1693327,839235,actress,Maya,
1693327,839236,actress,Maya,
1693327,839237,actress,Maya,
1693327,839238,actress,Maya,
1693327,839239,actress,Maya,
1693327,839240,actress,Maya,
1693327,839241,actress,Maya,
1693327,839254,actress,Maya,
1693327,839256,actress,Maya,
1693327,839257,actress,Maya,
1693327,839258,actress,Maya,
1693327,839260,actress,Maya,
1693327,839261,actress,Maya,
1693327,839262,actress,Maya,
1693327,839265,actress,Maya,
1693327,839267,actress,Maya,
1693327,839268,actress,Maya,
1693327,839272,actress,Maya,
1693327,839273,actress,Maya,
1693327,839275,actress,Maya,
1693327,839276,actress,Maya,
1693327,839277,actress,Maya,
1693327,839278,actress,Maya,
1693327,839281,actress,Maya,
1693327,839283,actress,Maya,
1693327,839285,actress,Maya,
1693327,839286,actress,Maya,
1693327,839287,actress,Maya,
1693327,839288,actress,Maya,
1693494,2269737,actress,Nancy,
1693816,1813673,actress,,
1693870,2040423,actress,Journalist,
1693962,1997420,actress,Nancy,
1694004,521429,actress,Naroa,(2009)
1694207,1728605,actress,Indian Girl,(as Tailinh Forest Flower)
1694214,1810615,actress,María de Guísamo,
1694255,1665618,actress,Jane Blake,
1694255,1677423,actress,Angelica,
1694255,2219953,actress,María José,
1694255,2221444,actress,Laura,
1694290,2425272,actress,,
