HA,2008-10-26,1,Carrier,21
HA,2008-10-27,1,Carrier,37
B6,2008-10-26,1,Carrier,7
B6,2008-10-27,1,Carrier,8
US,2008-10-27,3,Carrier,16
AS,2008-10-26,3,Carrier,34
CO,2008-10-26,3,Carrier,16
US,2008-10-27,5,Carrier,74
AA,2008-10-26,5,Carrier,20
CO,2008-10-27,5,Carrier,9
AS,2008-10-25,6,Carrier,7
HA,2008-10-27,7,Carrier,33
AS,2008-10-25,7,Carrier,103
FL,2008-10-25,8,Carrier,7
FL,2008-10-26,8,Carrier,83
HA,2008-10-25,8,Carrier,15
HA,2008-10-26,8,Carrier,8
AS,2008-10-25,8,Carrier,46
DL,2008-10-25,9,Carrier,94
DL,2008-10-27,9,Carrier,4
HA,2008-10-26,9,Carrier,21
HA,2008-10-27,9,Carrier,35
DL,2008-10-27,10,Carrier,12
HA,2008-10-27,10,Carrier,85
B6,2008-10-25,10,Carrier,124
HA,2008-10-26,11,Carrier,18
HA,2008-10-27,11,Carrier,16
WN,2008-10-26,11,Carrier,63
AS,2008-10-25,11,Carrier,55
AS,2008-10-26,11,Carrier,316
HA,2008-10-25,12,Carrier,24
WN,2008-10-27,12,Carrier,53
US,2008-10-27,12,Carrier,5
B6,2008-10-25,12,Carrier,61
AS,2008-10-25,14,Carrier,19
HA,2008-10-25,15,Carrier,19
HA,2008-10-27,15,Carrier,27
WN,2008-10-27,15,Carrier,31
AA,2008-10-26,15,Carrier,17
CO,2008-10-25,15,Carrier,19
DL,2008-10-25,16,Carrier,48
HA,2008-10-26,16,Carrier,31
WN,2008-10-26,16,Carrier,11
WN,2008-10-26,16,Carrier,55
AA,2008-10-25,16,Carrier,12
AS,2008-10-27,16,Carrier,26
HA,2008-10-27,17,Carrier,36
US,2008-10-26,17,Carrier,3
CO,2008-10-27,17,Carrier,23
CO,2008-10-26,17,Carrier,34
HA,2008-10-25,18,Carrier,26
WN,2008-10-27,19,Carrier,27
US,2008-10-26,19,Carrier,65
HA,2008-10-25,20,Carrier,31
US,2008-10-25,20,Carrier,4
AS,2008-10-25,21,Carrier,134
AS,2008-10-27,21,Carrier,19
B6,2008-10-25,21,Carrier,53
UA,2008-10-25,22,Carrier,69
US,2008-10-25,22,Carrier,3
AS,2008-10-26,22,Carrier,51
AS,2008-10-27,22,Carrier,85
DL,2008-10-26,25,Carrier,41
AA,2008-10-26,25,Carrier,45
DL,2008-10-27,26,Carrier,6
FL,2008-10-25,26,Carrier,21
FL,2008-10-27,26,Carrier,7
HA,2008-10-25,26,Carrier,26
AS,2008-10-26,26,Carrier,40
AS,2008-10-27,26,Carrier,48
