WN,2008-10-27,1292,Carrier
WN,2008-10-27,1292,Carrier
XE,2008-10-25,1295,National Air System
XE,2008-10-25,1298,National Air System
AA,2008-10-26,1310,Carrier
B6,2008-10-25,1310,Weather
B6,2008-10-25,1317,Weather
AA,2008-10-25,1329,National Air System
WN,2008-10-27,1339,Carrier
DL,2008-10-27,1353,Carrier
DL,2008-10-26,1356,Carrier
DL,2008-10-27,1356,Carrier
DL,2008-10-26,1360,Carrier
DL,2008-10-27,1360,Carrier
DL,2008-10-26,1361,Carrier
DL,2008-10-27,1361,Carrier
AA,2008-10-25,1362,National Air System
DL,2008-10-27,1364,Carrier
DL,2008-10-26,1365,Carrier
DL,2008-10-27,1365,Carrier
AA,2008-10-26,1368,National Air System
DL,2008-10-27,1373,Carrier
DL,2008-10-26,1389,Carrier
DL,2008-10-26,1392,Carrier
WN,2008-10-27,1421,National Air System
DL,2008-10-26,1423,Carrier
CO,2008-10-27,1431,National Air System
US,2008-10-26,1452,Carrier
AA,2008-10-25,1461,Carrier
WN,2008-10-27,1471,Carrier
CO,2008-10-27,1493,Carrier
US,2008-10-27,1517,Carrier
AA,2008-10-26,1530,Carrier
WN,2008-10-27,1554,Carrier
US,2008-10-27,1576,Carrier
US,2008-10-25,1582,National Air System
WN,2008-10-27,1590,Carrier
UA,2008-10-25,1606,Carrier
WN,2008-10-27,1614,Carrier
DL,2008-10-25,1615,Carrier
US,2008-10-27,1618,Carrier
US,2008-10-25,1628,National Air System
WN,2008-10-27,1630,Carrier
DL,2008-10-25,1638,Carrier
DL,2008-10-27,1760,Carrier
US,2008-10-26,1773,Carrier
US,2008-10-27,1775,Carrier
WN,2008-10-27,1902,Carrier
WN,2008-10-27,1947,Carrier
AA,2008-10-25,2065,Carrier
XE,2008-10-25,2076,National Air System
US,2008-10-27,2116,Carrier
US,2008-10-27,2121,Carrier
US,2008-10-26,2122,Carrier
US,2008-10-26,2127,Carrier
US,2008-10-27,2171,Carrier
US,2008-10-27,2172,Carrier
XE,2008-10-25,2282,National Air System
AA,2008-10-27,2345,Carrier
XE,2008-10-25,2347,Weather
AA,2008-10-27,2372,National Air System
XE,2008-10-25,2466,National Air System
YV,2008-10-26,2716,Carrier
YV,2008-10-26,2732,Carrier
YV,2008-10-26,2783,Carrier
YV,2008-10-27,2841,Carrier
YV,2008-10-27,2852,Carrier
YV,2008-10-26,2856,Carrier
YV,2008-10-26,2859,Carrier
YV,2008-10-27,2871,Carrier
XE,2008-10-25,2874,National Air System
XE,2008-10-25,2936,National Air System
XE,2008-10-25,2953,Weather
YV,2008-10-26,2979,Carrier
XE,2008-10-25,2985,National Air System
MQ,2008-10-25,3004,Carrier
MQ,2008-10-27,3006,Weather
MQ,2008-10-27,3038,Weather
MQ,2008-10-27,3039,Weather
MQ,2008-10-27,3057,Weather
MQ,2008-10-27,3113,Weather
MQ,2008-10-27,3114,Weather
MQ,2008-10-26,3150,Carrier
MQ,2008-10-27,3155,Weather
MQ,2008-10-27,3156,Weather
MQ,2008-10-27,3169,National Air System
MQ,2008-10-26,3185,Carrier
MQ,2008-10-27,3188,National Air System
MQ,2008-10-27,3189,Carrier
MQ,2008-10-25,3496,Carrier
MQ,2008-10-26,3638,Carrier
OO,2008-10-27,3701,Carrier
OO,2008-10-26,3745,Weather
OO,2008-10-27,3783,Weather
MQ,2008-10-26,3912,Carrier
MQ,2008-10-27,3912,National Air System
MQ,2008-10-26,3916,National Air System
MQ,2008-10-26,4047,National Air System
MQ,2008-10-26,4095,Carrier
MQ,2008-10-27,4095,National Air System
OO,2008-10-27,4110,Carrier
MQ,2008-10-26,4180,National Air System
MQ,2008-10-26,4183,National Air System
MQ,2008-10-26,4229,Carrier
MQ,2008-10-27,4246,National Air System
MQ,2008-10-27,4279,National Air System
MQ,2008-10-25,4292,Carrier
MQ,2008-10-25,4314,National Air System
MQ,2008-10-26,4367,National Air System
MQ,2008-10-26,4368,National Air System
MQ,2008-10-27,4370,National Air System
MQ,2008-10-27,4372,National Air System
MQ,2008-10-26,4381,Carrier
MQ,2008-10-26,4384,Carrier
MQ,2008-10-27,4398,National Air System
MQ,2008-10-27,4403,National Air System
MQ,2008-10-26,4404,Carrier
MQ,2008-10-25,4451,National Air System
MQ,2008-10-25,4549,National Air System
MQ,2008-10-25,4609,Weather
MQ,2008-10-26,4611,National Air System
MQ,2008-10-25,4616,National Air System
MQ,2008-10-25,4617,National Air System
MQ,2008-10-25,4619,National Air System
MQ,2008-10-25,4623,National Air System
MQ,2008-10-25,4655,National Air System
MQ,2008-10-25,4656,National Air System
MQ,2008-10-25,4662,National Air System
MQ,2008-10-25,4668,National Air System
MQ,2008-10-26,4688,Carrier
MQ,2008-10-25,4712,National Air System
MQ,2008-10-25,4721,National Air System
MQ,2008-10-26,4722,National Air System
MQ,2008-10-26,4722,National Air System
MQ,2008-10-25,4731,National Air System
MQ,2008-10-25,4731,National Air System
MQ,2008-10-25,4733,National Air System
MQ,2008-10-25,4735,Weather
MQ,2008-10-25,4736,Weather
MQ,2008-10-25,4754,National Air System
MQ,2008-10-25,4757,National Air System
MQ,2008-10-25,4761,National Air System
MQ,2008-10-26,4795,National Air System
MQ,2008-10-25,4809,Weather
MQ,2008-10-25,4823,Weather
MQ,2008-10-25,4828,Weather
MQ,2008-10-25,4875,Weather
MQ,2008-10-27,4914,National Air System
MQ,2008-10-27,4915,National Air System
MQ,2008-10-25,4918,Weather
EV,2008-10-27,4927,Weather
EV,2008-10-25,4946,Carrier
EV,2008-10-27,4998,Carrier
EV,2008-10-27,5061,Carrier
EV,2008-10-25,5083,Carrier
EV,2008-10-25,5204,Carrier
OO,2008-10-27,5405,Weather
OO,2008-10-27,5405,Weather
OO,2008-10-27,5406,Weather
OO,2008-10-26,5406,Carrier
OO,2008-10-26,5451,Weather
EV,2008-10-27,5461,Carrier
OO,2008-10-26,5489,Weather
OO,2008-10-25,5496,Weather
OO,2008-10-26,5497,Weather
OO,2008-10-27,5498,Weather
OO,2008-10-27,5499,Weather
OO,2008-10-26,5507,Weather
OO,2008-10-27,5507,Weather
OO,2008-10-25,5535,Weather
OO,2008-10-26,5535,Weather
OO,2008-10-27,5535,Weather
OO,2008-10-27,5555,Weather
OO,2008-10-26,5558,Weather
OO,2008-10-26,5559,Weather
OO,2008-10-27,5571,Weather
OO,2008-10-27,5581,National Air System
OO,2008-10-26,5707,Weather
OO,2008-10-26,5709,Weather
OO,2008-10-27,5725,Weather
OO,2008-10-27,5730,Carrier
OO,2008-10-27,5755,Carrier
OO,2008-10-27,5795,Carrier
OO,2008-10-27,5892,Carrier
OO,2008-10-27,5943,National Air System
OO,2008-10-27,5946,Carrier
OO,2008-10-27,5946,Carrier
OO,2008-10-27,5967,Carrier
OO,2008-10-27,5979,National Air System
OO,2008-10-27,5988,Carrier
OO,2008-10-25,6079,Carrier
OO,2008-10-27,6094,Carrier
OO,2008-10-25,6098,Weather
OH,2008-10-25,6336,Weather
OH,2008-10-25,6341,Weather
OH,2008-10-25,6343,Weather
OH,2008-10-25,6343,Weather
OH,2008-10-25,6359,Weather
OH,2008-10-25,6373,Weather
OH,2008-10-25,6391,Weather
OH,2008-10-25,6403,Weather
OH,2008-10-25,6417,Weather
OH,2008-10-25,6422,Weather
OH,2008-10-25,6446,Weather
OH,2008-10-26,6451,Carrier
OH,2008-10-25,6461,Weather
OO,2008-10-26,6468,Weather
OH,2008-10-25,6503,Weather
OH,2008-10-25,6503,Weather
OH,2008-10-25,6578,Weather
OH,2008-10-25,6588,Weather
OH,2008-10-25,6609,Weather
OH,2008-10-25,6614,Weather
OO,2008-10-25,6620,Weather
OH,2008-10-25,6626,Weather
OH,2008-10-25,6651,Weather
OH,2008-10-25,6651,Weather
OO,2008-10-27,6652,Carrier
OH,2008-10-25,6661,Weather
OO,2008-10-27,6669,Carrier
OH,2008-10-25,6676,Weather
OH,2008-10-25,6678,Weather
OO,2008-10-27,6701,Weather
OH,2008-10-25,6798,Weather
OH,2008-10-26,6798,Carrier
OH,2008-10-25,6800,Weather
OH,2008-10-25,6940,Weather
YV,2008-10-27,7086,Carrier
YV,2008-10-25,7114,Weather
YV,2008-10-27,7163,Carrier
YV,2008-10-27,7163,Carrier
YV,2008-10-27,7168,Carrier
YV,2008-10-27,7279,Carrier
YV,2008-10-27,7303,Carrier
YV,2008-10-27,7303,Carrier
YV,2008-10-27,7319,Carrier
YV,2008-10-27,7319,Carrier
OO,2008-10-25,7755,Carrier
OO,2008-10-25,7782,Carrier
