XE,2008-10-26,2993,MSN,N11191,1330,1426
MQ,2008-10-27,3014,ONT,N324MQ,1004,1115
MQ,2008-10-27,3063,ONT,N240MQ,750,1045
OO,2008-10-27,3823,IAH,N821SK,1452,1646
MQ,2008-10-26,3841,CID,N695MQ,1203,""
MQ,2008-10-25,4104,GRB,N620MQ,729,829
MQ,2008-10-25,4730,BDL,N816MQ,1745,2228
MQ,2008-10-25,4807,PIT,N833MQ,1852,2007
MQ,2008-10-25,4896,BOS,N811MQ,1840,2033
EV,2008-10-25,5231,ABE,N681BR,2236,2329
EV,2008-10-26,5372,PIA,N708EV,1626,1749
OO,2008-10-27,5439,BFL,N299SW,910,1040
OO,2008-10-26,5468,BFL,N565SW,941,1005
OO,2008-10-26,5532,SFO,,1030,""
OO,2008-10-27,5549,SFO,N567SW,742,922
EV,2008-10-26,5701,ATL,N835AS,1955,2214
OH,2008-10-25,6502,PIT,,1900,""
OO,2008-10-26,6551,FAT,N929SW,1836,2233
OH,2008-10-27,6743,CMH,N989CA,750,818
YV,2008-10-27,7278,IAD,N17175,1828,2229
OO,2008-10-27,7796,SLC,N291SW,2144,2253
