UA,2008-10-26,1,NAS,28
US,2008-10-27,1,NAS,21
AS,2008-10-25,1,NAS,22
B6,2008-10-26,1,NAS,12
B6,2008-10-27,1,NAS,14
AA,2008-10-27,2,NAS,25
US,2008-10-27,3,NAS,11
AS,2008-10-25,3,NAS,23
AS,2008-10-26,3,NAS,7
B6,2008-10-25,3,NAS,246
CO,2008-10-26,3,NAS,5
CO,2008-10-25,3,NAS,25
AS,2008-10-25,4,NAS,15
FL,2008-10-25,5,NAS,17
FL,2008-10-26,5,NAS,16
UA,2008-10-26,5,NAS,31
US,2008-10-26,5,NAS,59
US,2008-10-27,5,NAS,18
US,2008-10-27,5,NAS,7
AA,2008-10-27,5,NAS,15
CO,2008-10-27,5,NAS,25
UA,2008-10-25,6,NAS,27
AS,2008-10-25,6,NAS,33
AS,2008-10-27,6,NAS,20
US,2008-10-26,7,NAS,101
US,2008-10-27,7,NAS,155
AA,2008-10-26,7,NAS,21
AS,2008-10-25,7,NAS,9
B6,2008-10-25,7,NAS,204
DL,2008-10-27,8,NAS,23
FL,2008-10-25,8,NAS,8
FL,2008-10-26,8,NAS,3
UA,2008-10-25,8,NAS,126
DL,2008-10-27,10,NAS,8
UA,2008-10-25,10,NAS,45
AA,2008-10-27,10,NAS,18
DL,2008-10-25,12,NAS,16
US,2008-10-27,12,NAS,13
B6,2008-10-25,12,NAS,1
US,2008-10-25,14,NAS,178
US,2008-10-27,14,NAS,27
FL,2008-10-25,15,NAS,45
FL,2008-10-26,15,NAS,15
AA,2008-10-26,15,NAS,15
B6,2008-10-25,15,NAS,20
AA,2008-10-25,16,NAS,4
HA,2008-10-27,17,NAS,217
US,2008-10-26,17,NAS,18
CO,2008-10-26,17,NAS,37
B6,2008-10-25,18,NAS,10
DL,2008-10-27,19,NAS,21
AS,2008-10-25,19,NAS,20
AS,2008-10-26,19,NAS,17
FL,2008-10-25,20,NAS,6
UA,2008-10-26,20,NAS,95
US,2008-10-25,20,NAS,13
US,2008-10-27,20,NAS,24
AA,2008-10-25,20,NAS,131
AA,2008-10-25,21,NAS,28
AS,2008-10-25,21,NAS,17
UA,2008-10-25,22,NAS,40
US,2008-10-25,22,NAS,20
AS,2008-10-27,22,NAS,28
AS,2008-10-25,23,NAS,35
CO,2008-10-27,23,NAS,10
AS,2008-10-27,24,NAS,21
DL,2008-10-27,26,NAS,22
FL,2008-10-25,26,NAS,14
FL,2008-10-27,26,NAS,13
AS,2008-10-27,26,NAS,11
UA,2008-10-25,27,NAS,27
UA,2008-10-26,27,NAS,15
WN,2008-10-26,28,NAS,1
B6,2008-10-25,28,NAS,130
FL,2008-10-27,29,NAS,2
AS,2008-10-25,29,NAS,31
AS,2008-10-27,29,NAS,18
DL,2008-10-25,30,NAS,211
FL,2008-10-27,30,NAS,12
WN,2008-10-26,30,NAS,13
WN,2008-10-26,30,NAS,9
US,2008-10-27,30,NAS,20
AA,2008-10-26,30,NAS,16
AA,2008-10-27,31,NAS,15
AS,2008-10-25,31,NAS,12
B6,2008-10-27,31,NAS,21
FL,2008-10-26,32,NAS,11
AA,2008-10-25,32,NAS,55
DL,2008-10-26,33,NAS,5
B6,2008-10-25,33,NAS,109
UA,2008-10-27,34,NAS,37
AA,2008-10-25,34,NAS,97
CO,2008-10-26,34,NAS,9
FL,2008-10-26,35,NAS,8
UA,2008-10-27,35,NAS,20
FL,2008-10-26,36,NAS,34
UA,2008-10-27,36,NAS,28
CO,2008-10-25,36,NAS,119
UA,2008-10-27,37,NAS,11
AS,2008-10-27,37,NAS,8
CO,2008-10-27,37,NAS,19
CO,2008-10-25,37,NAS,11
DL,2008-10-27,38,NAS,12
FL,2008-10-27,39,NAS,24
WN,2008-10-26,39,NAS,16
AS,2008-10-26,39,NAS,22
UA,2008-10-27,40,NAS,101
AA,2008-10-25,40,NAS,75
AS,2008-10-26,40,NAS,1
